year,ticker,com_name,size,capex,total_debt,d_to_e,ocf,total_equity,ld_to_e,sich
2023,ACDC,PROFRAC HOLDING CORP,3070.7,267,1160.8,0.873701641,553.5,1328.6,0,1389
2024,ACDC,PROFRAC HOLDING CORP,2988.1,255,1272.1,1.116268866,367.3,1139.6,0,1389
2014,ACMP,ACCESS MIDSTREAM PARTNERS LP,9143.577,1158.421,4300.049,0.952958092,770.973,4512.317,0,1311
2023,AESI,ATLAS ENERGY SOLUTIONS INC,1261.686,365.486,177.989,0.205098038,299.027,867.824,1,1389
2024,AESI,ATLAS ENERGY SOLUTIONS INC,1972.652,373.983,530.095,0.511400252,256.46,1036.556,1,1389
2014,AHGP,ALLIANCE HOLDINGS GP LP,2288.755,311.469,838.179,0.823136995,734.83,1018.274,0,1220
2015,AHGP,ALLIANCE HOLDINGS GP LP,2368.36,212.797,919.264,0.924690081,714.408,994.132,0,1220
2016,AHGP,ALLIANCE HOLDINGS GP LP,2197.687,91.056,662.056,0.603158204,700.725,1097.649,1,1220
2017,AHGP,ALLIANCE HOLDINGS GP LP,2221.251,145.088,574.041,0.497922148,554.082,1152.873,1,1220
2014,ALDW,ALON USA PARTNERS LP,770.246,74.8,302.376,1.604951115,196.504,188.402,0,2911
2015,ALDW,ALON USA PARTNERS LP,748.584,29.55,292.082,2.230365693,239.745,130.957,0,2911
2016,ALDW,ALON USA PARTNERS LP,695.637,33.351,236.319,2.283209182,78.115,103.503,0,2911
2014,ALJ,ALON USA ENERGY INC,2200.874,88.429,563.687,0.836606419,193.658,673.778,0,2911
2015,ALJ,ALON USA ENERGY INC,2176.138,112.391,555.962,0.83709046,226.065,664.16,0,2911
2016,ALJ,ALON USA ENERGY INC,2110.159,58.644,527.966,0.906514793,59.516,582.413,0,2911
2015,AM.2,ANTERO MIDSTREAM PARTNERS LP,1980.032,452.635,620,0.572618668,259.678,1082.745,1,1311
2016,AM.2,ANTERO MIDSTREAM PARTNERS LP,2349.895,416.32,849.914,0.695049926,378.607,1222.81,0,1311
2017,AM.2,ANTERO MIDSTREAM PARTNERS LP,3042.209,541.379,1196,0.788674216,475.796,1516.469,0,1311
2018,AM.2,ANTERO MIDSTREAM PARTNERS LP,3546.417,534.944,1632.147,0.964906462,657.56,1691.508,0,1311
2014,AMPY,AMPLIFY ENERGY CORP,2930.559,1348.095,1595.413,1.48319864,224.898,1075.657,0,1311
2015,AMPY,AMPLIFY ENERGY CORP,2906.003,342.029,2000.579,3.099308744,216.751,645.492,0,1311
2016,AMPY,AMPLIFY ENERGY CORP,1973.254,65.55,1622.904,16.31239635,408.626,99.489,0,1311
2019,AMPY,AMPLIFY ENERGY CORP,877.539,73.79,289.432,0.66657608,47.283,434.207,0,1311
2023,AMPY,AMPLIFY ENERGY CORP,737.674,31.378,121.827,0.31154932,141.59,391.036,1,1311
2024,AMPY,AMPLIFY ENERGY CORP,747.076,73.344,132.467,0.323949896,51.293,408.912,1,1311
2018,AMR,ALPHA METALLURGICAL RESOURCE,2746.058,81.881,588.012,0.548959053,158.381,1071.14,1,1220
2019,AMR,ALPHA METALLURGICAL RESOURCE,2302.823,192.411,601.645,0.864280974,131.88,696.122,0,1220
2020,AMR,ALPHA METALLURGICAL RESOURCE,1680.089,153.99,588.198,2.93949086,129.236,200.102,0,1220
2021,AMR,ALPHA METALLURGICAL RESOURCE,1857.712,83.3,453.554,0.829304327,174.943,546.909,0,1220
2022,AMR,ALPHA METALLURGICAL RESOURCE,2312.479,164.309,15.463,0.01081514,1484.005,1429.755,1,1220
2023,AMR,ALPHA METALLURGICAL RESOURCE,2406.057,245.373,14.412,0.009156709,851.159,1573.928,1,1220
2024,AMR,ALPHA METALLURGICAL RESOURCE,2438.708,198.848,9.348,0.005667182,579.919,1649.497,1,1220
2018,AMRQQ,ALTA MESA RESOURCES INC,1357.83,799.455,864.123,3.99821864,113.145,216.127,0,1311
2014,ANDV,ANDEAVOR,16584,685,4260,0.610665138,1364,6976,0,2911
2015,ANDV,ANDEAVOR,16332,1030,4073,0.52622739,2131,7740,1,2911
2016,ANDV,ANDEAVOR,20398,894,6933,0.853082318,1304,8127,0,2911
2017,ANDV,ANDEAVOR,28573,1346,7685,0.572866195,1630,13415,1,2911
